Min Packet Length,Flow Packets/s,Average Packet Size,Max Packet Length,Bwd Packet Length Std,Flow Bytes/s,Packet Length Std,Fwd Packet Length Mean,Flow Duration,Fwd Packet Length Min,Flow IAT Mean,Fwd IAT Min,Total Fwd Packets,Fwd IAT Mean,Total Length of Fwd Packets,Fwd IAT Std,Bwd IAT Mean,Flow IAT Max,Bwd Packets/s,Flow IAT Std,Fwd Header Length,Label,Bwd Packet Length Min,Bwd Packet Length Mean,Fwd Packet Length Max,Bwd IAT Max,Fwd IAT Total,Fwd Packet Length Std,Bwd IAT Std,Bwd Header Length,Fwd IAT Max,Bwd Packet Length Max,Bwd IAT Min,Fwd Packets/s,Bwd IAT Total,Packet Length Variance,Total Length of Bwd Packets,Flow IAT Min,Packet Length Mean
0.0,1.414841307,269.497006,3069.0,470.0420357,381.2954963,359.6417718,168.8301887,118034439.0,0.0,711050.8373,1.0,106.0,1124137.514,17896.0,5726832.073,1966591.283,49000000.0,0.516798322,4579006.975,3408.0,0,0.0,444.4262295,1313.0,49000000.0,118000000.0,225.3205747,7492250.658,1968.0,49000000.0,3069.0,2.0,0.898042986,118000000.0,129342.204,27110.0,0.0,267.8928571
32.0,19047.61905,48.0,48.0,0.0,761904.7619,8.76356092,32.0,210.0,32.0,70.0,49.0,2.0,49.0,64.0,0.0,49.0,112.0,9523.809524,36.37306696,64.0,0,48.0,48.0,32.0,49.0,49.0,0.0,0.0,64.0,49.0,48.0,49.0,9523.809524,49.0,76.8,96.0,49.0,38.4
44.0,19801.9802,80.0,94.0,0.0,1366336.634,27.38612788,44.0,202.0,44.0,67.33333333,49.0,2.0,49.0,88.0,0.0,48.0,105.0,9900.990099,32.62412195,64.0,0,94.0,94.0,44.0,48.0,49.0,0.0,0.0,64.0,49.0,94.0,48.0,9900.990099,48.0,750.0,188.0,48.0,64.0
0.0,33936.65158,33.2,163.0,94.10809388,1126696.833,57.86060836,15.63636364,442.0,0.0,31.57142857,1.0,11.0,44.2,172.0,33.41589775,102.6666667,65.0,9049.773756,22.27007059,368.0,0,0.0,81.5,79.0,179.0,442.0,31.4492376,68.13467057,144.0,96.0,163.0,48.0,24886.87783,308.0,3347.85,326.0,1.0,31.125
0.0,13307.98479,35.07142857,163.0,94.10809388,466730.038,59.52006464,16.5,1052.0,0.0,80.92307692,1.0,10.0,116.8888889,165.0,205.4254393,82.0,661.0,3802.281369,175.1101851,336.0,0,0.0,81.5,79.0,150.0,1052.0,33.01262385,58.88972746,144.0,661.0,163.0,48.0,9505.703422,246.0,3542.638095,326.0,1.0,32.73333333
48.0,0.231528936,51.0,48.0,0.0,11.11338894,0.0,48.0,69105833.0,48.0,4607055.533,1989879.0,8.0,9856727.571,384.0,20400000.0,9856701.429,55900000.0,0.115764468,14200000.0,120.0,0,48.0,48.0,48.0,56000000.0,69000000.0,0.0,20400000.0,152.0,56000000.0,48.0,1989881.0,0.115764468,69000000.0,0.0,384.0,108726.0,48.0
0.0,2.917409623,238.3829787,3120.0,135.8682024,695.4607962,527.9885489,293.6296296,16110182.0,0.0,350221.3478,3.0,27.0,619622.3846,7928.0,2472226.276,847898.7368,12200000.0,1.241450904,1868675.278,564.0,0,0.0,163.8,3120.0,12200000.0,16100000.0,693.4371553,2895204.605,424.0,12200000.0,420.0,3.0,1.67595872,16100000.0,278771.9078,3276.0,3.0,233.4166667
39.0,18867.92453,80.75,103.0,0.0,1339622.642,35.05424368,39.0,212.0,39.0,70.66666667,3.0,2.0,3.0,78.0,0.0,3.0,206.0,9433.962264,117.2021046,0.0,0,103.0,103.0,39.0,3.0,3.0,0.0,0.0,0.0,3.0,103.0,3.0,9433.962264,3.0,1228.8,206.0,3.0,64.6
175.0,21621.62162,273.5,248.0,0.0,4572972.973,39.9837467,248.0,185.0,248.0,61.66666667,4.0,2.0,4.0,496.0,0.0,48.0,133.0,10810.81081,65.57692684,64.0,0,175.0,175.0,248.0,48.0,4.0,0.0,0.0,64.0,4.0,175.0,48.0,10810.81081,48.0,1598.7,350.0,4.0,218.8
0.0,22000.0,517.8181818,1434.0,827.920286,11400000.0,697.8648389,404.0,500.0,0.0,50.0,1.0,7.0,83.33333333,2828.0,133.1505414,138.3333333,312.0,8000.0,94.52571667,164.0,0,0.0,717.0,1405.0,410.0,500.0,683.8184457,235.2750164,104.0,351.0,1434.0,1.0,14000.0,415.0,487015.3333,2868.0,1.0,474.6666667
6.0,1500000.0,8.0,6.0,0.0,9000000.0,0.0,6.0,2.0,6.0,1.0,1.0,3.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,60.0,0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1500000.0,0.0,0.0,0.0,1.0,6.0
71.0,17391.30435,113.75,121.0,0.0,1669565.217,27.38612788,71.0,230.0,71.0,76.66666667,4.0,2.0,4.0,142.0,0.0,48.0,178.0,8695.652174,90.47283202,40.0,0,121.0,121.0,71.0,48.0,4.0,0.0,0.0,40.0,4.0,121.0,48.0,8695.652174,48.0,750.0,242.0,4.0,91.0
6.0,71428.57143,9.0,6.0,0.0,428571.4286,0.0,6.0,28.0,6.0,28.0,0.0,1.0,0.0,6.0,0.0,0.0,28.0,35714.28571,0.0,20.0,0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,35714.28571,0.0,0.0,6.0,28.0,6.0
0.0,390.0156006,430.0,2634.0,870.0626519,167706.7083,733.6989619,348.1666667,58972.0,0.0,2680.545455,1.0,12.0,5354.727273,4178.0,16591.11065,5892.4,55308.0,186.5292003,11765.69578,264.0,0,0.0,519.2727273,1684.0,55404.0,58902.0,637.1751341,17413.42429,244.0,55308.0,2634.0,2.0,203.4864003,58924.0,538314.1667,5712.0,1.0,412.0833333
163.0,27972.02797,204.5,164.0,0.0,4573426.573,0.547722558,164.0,143.0,164.0,47.66666667,4.0,2.0,4.0,328.0,0.0,4.0,135.0,13986.01399,75.63288526,40.0,0,163.0,163.0,164.0,4.0,4.0,0.0,0.0,40.0,4.0,163.0,4.0,13986.01399,4.0,0.3,326.0,4.0,163.6
42.0,168.1873607,84.5,106.0,0.0,12445.86469,35.05424368,42.0,23783.0,42.0,7927.666667,3.0,2.0,3.0,84.0,0.0,3.0,23777.0,84.09368036,13725.9253,64.0,0,106.0,106.0,42.0,3.0,3.0,0.0,0.0,64.0,3.0,106.0,3.0,84.09368036,3.0,1228.8,212.0,3.0,67.6
48.0,0.197268901,51.0,48.0,0.0,9.46890724,0.0,48.0,81107564.0,48.0,5407170.933,3.0,8.0,11600000.0,384.0,23800000.0,11600000.0,64000000.0,0.09863445,16700000.0,160.0,0,48.0,48.0,48.0,64000000.0,81100000.0,0.0,23800000.0,160.0,64000000.0,48.0,3.0,0.09863445,81100000.0,0.0,384.0,3.0,48.0
53.0,43.11273981,136.0,166.0,0.0,4720.84501,65.24058042,53.0,46390.0,53.0,46390.0,0.0,1.0,0.0,53.0,0.0,0.0,46390.0,21.55636991,0.0,20.0,0,166.0,166.0,53.0,0.0,0.0,0.0,0.0,20.0,0.0,166.0,0.0,21.55636991,0.0,4256.333333,166.0,46390.0,90.66666667
0.0,0.428446423,169.7692308,1615.0,589.1466608,72.73701973,415.3345612,70.0,60684367.0,0.0,2427374.68,181.0,14.0,4668028.231,980.0,5191187.911,5509170.273,10000000.0,0.197744503,4335134.905,292.0,0,2.0,286.1666667,590.0,10100000.0,60700000.0,161.0905145,5231475.662,244.0,10100000.0,1615.0,223.0,0.23070192,60600000.0,172502.7977,3434.0,85.0,163.4814815
57.0,6.28796358,173.5,233.0,0.0,911.7547191,101.6136474,57.0,318068.0,57.0,318068.0,0.0,1.0,0.0,57.0,0.0,0.0,318068.0,3.14398179,0.0,20.0,0,233.0,233.0,57.0,0.0,0.0,0.0,0.0,20.0,0.0,233.0,0.0,3.14398179,0.0,10325.33333,233.0,318068.0,115.6666667
44.0,24242.42424,80.0,94.0,0.0,1672727.273,27.38612788,44.0,165.0,44.0,55.0,3.0,2.0,3.0,88.0,0.0,3.0,159.0,12121.21212,90.06664199,64.0,0,94.0,94.0,44.0,3.0,3.0,0.0,0.0,64.0,3.0,94.0,3.0,12121.21212,3.0,750.0,188.0,3.0,64.0
32.0,24096.38554,48.0,48.0,0.0,963855.4217,8.76356092,32.0,166.0,32.0,55.33333333,3.0,2.0,3.0,64.0,0.0,4.0,159.0,12048.19277,89.77935917,64.0,0,48.0,48.0,32.0,4.0,3.0,0.0,0.0,64.0,3.0,48.0,4.0,12048.19277,4.0,76.8,96.0,3.0,38.4
256.0,6060.606061,901.0,1418.0,0.0,5072727.273,636.4536118,256.0,660.0,256.0,220.0,4.0,2.0,4.0,512.0,0.0,4.0,652.0,3030.30303,374.1229744,64.0,0,1418.0,1418.0,256.0,4.0,4.0,0.0,0.0,64.0,4.0,1418.0,4.0,3030.30303,4.0,405073.2,2836.0,4.0,720.8
6.0,24193.54839,8.0,6.0,0.0,145161.2903,0.0,6.0,124.0,6.0,62.0,0.0,1.0,0.0,6.0,0.0,49.0,75.0,16129.03226,18.38477631,20.0,0,6.0,6.0,6.0,49.0,0.0,0.0,0.0,40.0,0.0,6.0,49.0,8064.516129,49.0,0.0,12.0,49.0,6.0
46.0,9.060781991,137.5,206.0,0.0,1141.658531,87.6356092,46.0,441463.0,46.0,147154.3333,4.0,2.0,4.0,92.0,0.0,191.0,441268.0,4.530390995,254709.9241,40.0,0,206.0,206.0,46.0,191.0,4.0,0.0,0.0,40.0,4.0,206.0,191.0,4.530390995,191.0,7680.0,412.0,4.0,110.0
6.0,116279.0698,7.2,6.0,0.0,697674.4186,0.0,6.0,43.0,6.0,10.75,0.0,1.0,0.0,6.0,0.0,0.666666667,41.0,93023.25581,20.17217556,20.0,0,6.0,6.0,6.0,1.0,0.0,0.0,0.577350269,80.0,0.0,6.0,0.0,23255.81395,2.0,0.0,24.0,0.0,6.0
51.0,22471.91011,94.25,112.0,0.0,1831460.674,33.41107601,51.0,178.0,51.0,59.33333333,4.0,2.0,4.0,102.0,0.0,48.0,126.0,11235.95506,61.78457197,64.0,0,112.0,112.0,51.0,48.0,4.0,0.0,0.0,64.0,4.0,112.0,48.0,11235.95506,48.0,1116.3,224.0,4.0,75.4
315.0,4259.850905,1261.5,1472.0,0.0,3806176.784,633.714999,1472.0,939.0,1472.0,313.0,3.0,2.0,3.0,2944.0,0.0,49.0,887.0,2129.925453,497.6303849,64.0,0,315.0,315.0,1472.0,49.0,3.0,0.0,0.0,64.0,3.0,315.0,49.0,2129.925453,49.0,401594.7,630.0,3.0,1009.2
44.0,20512.82051,80.0,94.0,0.0,1415384.615,27.38612788,44.0,195.0,44.0,65.0,2.0,2.0,2.0,88.0,0.0,49.0,144.0,10256.41026,72.33947747,64.0,0,94.0,94.0,44.0,49.0,2.0,0.0,0.0,64.0,2.0,94.0,49.0,10256.41026,49.0,750.0,188.0,2.0,64.0
0.0,5.956051542,136.0465116,2161.0,518.2292288,810.3000354,380.9480191,66.5,7219548.0,0.0,171894.0,213.0,20.0,377327.4737,1330.0,885383.2277,325905.9545,3831179.0,3.185795011,613537.012,648.0,0,0.0,196.5217391,362.0,3880780.0,7169222.0,83.64303853,844381.1009,744.0,3831179.0,2161.0,1.0,2.770256531,7169931.0,145121.3932,4520.0,1.0,132.9545455
38.0,17857.14286,55.5,54.0,0.0,821428.5714,8.76356092,38.0,224.0,38.0,74.66666667,3.0,2.0,3.0,76.0,0.0,4.0,217.0,8928.571429,123.2652965,64.0,0,54.0,54.0,38.0,4.0,3.0,0.0,0.0,64.0,3.0,54.0,4.0,8928.571429,4.0,76.8,108.0,3.0,44.4
49.0,30.01245517,143.5,189.0,0.0,3571.482165,80.82903769,49.0,66639.0,49.0,66639.0,0.0,1.0,0.0,49.0,0.0,0.0,66639.0,15.00622758,0.0,32.0,0,189.0,189.0,49.0,0.0,0.0,0.0,0.0,32.0,0.0,189.0,0.0,15.00622758,0.0,6533.333333,189.0,66639.0,95.66666667
